Country,ChannelName,Category,MainVideo Category,username,followers,Maintopic,Moretopics,Likes,BoostIndex,EngagementRate,EngagementRate60days,Views,ViewsAvg.,CommentsAvg,YoutubeLink,,,started,Income q1,Income q2,Income q3,Income q4
IN,T-Series,Gaming & Apps,Music,T-Series,220000000,Music of Asia,"Entertainment,Music of Asia,Music,Movies",1602680172,83,0.033463131,0.010879483,1.96E+11,2095329,4494,UCq-Fj5jknLsUf-MWSy4_brA,,,2006,441696.55,714420.59,822385.13,492428.39
US,ABCkidTV - Nursery Rhymes,Gaming & Apps,Education,ABCkidTV - Nursery Rhymes,138000000,Movies,"Entertainment,Music,Movies",220990134.6,63,0.641715698,0.116003684,1.33E+11,70271260,147,UCbCmjCuTUZos6Inko4u57UQ,,,2015,617387.98,747622.15,948557.67,510605.06
IN,SET India,Gaming & Apps,Shows,SET India,137000000,Movies,"Entertainment,TV shows,Music,Movies",174875242.6,79,0.00120627,0.002365693,1.22E+11,109573,76,UCpEhnqL0y41EpW2TvWAHD7Q,,,2006,491881.92,679295.46,8621.08,774687.67
US,PewDiePie,Gaming & Apps,Gaming,PewDiePie,111000000,Lifestyle,"Gaming,Action game,Lifestyle,Action-adventure game",2191405542,88,0.063426127,0.044846075,28424113942,7718345,35840,UC-lHJZR3Gqxm24_Vd_AJ5Yw,,,2006,146655.53,389799.23,687739.37,5611.85
US,MrBeast,Gaming & Apps,Entertainment,MrBeast,98100000,Lifestyle,"Entertainment,Lifestyle,Technology",1731833461,60,0.72920955,0.570270225,16242634269,98762497,113432,UCX6OQ3DkcsbYNE6H8uQQuVA,,,2013,374968.20,914153.73,776074.12,125315.82
US,Like Nastya,People & Blogs,People & Blogs,Like Nastya,97300000,Hobby,"Lifestyle,Hobby",280877652.4,79,1.026760674,0.23138806,80111555805,138163705,0,UCJplp5SjeGSdVdwsfb9Q7lQ,,,2010,812099.15,691642.53,55135.61,366137.91
US,✿ Kids Diana Show,Gaming & Apps,Entertainment,✿ Kids Diana Show,97200000,Lifestyle,"Lifestyle,Hobby",235190437.5,67,0.690341775,0.24385312,77340155581,86417353,0,UCk8GzjMOrta8yxDcKfylJYw,,,2012,324618.97,671551.39,437073.63,340872.64
US,WWE,Sports,Sports,WWE,89400000,Lifestyle,"Entertainment,Lifestyle,Professional wrestling,Sports,Performing arts",543800874.3,80,0.004329158,0.003562268,69794363750,392018,590,UCJ5v_MCY6GNUBTO8-D3XoAg,,,2015,818965.41,882170.88,95546.54,429617.21
IN,Zee Music Company,Music,Music,Zee Music Company,85500000,Pop music,"Music of Asia,Music,Pop music",210395355.3,76,0.029939415,0.021687586,48162039794,1106509,1771,UCFFbwnve3yF62-tVXkTyHqg,,,2016,992744.85,125079.73,228936.29,381006.07
US,Vlad and Niki,Entertainment,Entertainment,Vlad and Niki,83500000,Hobby,"Lifestyle,Hobby",146245435.4,82,0.976381214,0.121066269,65143080313,108949717,0,UCvlE5gTbOvjiolFlEm-c_Ow,,,2013,522775.52,929883.41,36925.53,625994.02
US,5-Minute Crafts,Gaming & Apps,Howto & Style,5-Minute Crafts,77000000,Lifestyle,"Lifestyle,Hobby",158230212.5,73,0.030060771,0.005156171,22655274758,2045771,726,UC295-Dw_tDNtZXFeAPAW6Aw,,,2007,415455.40,107090.72,396703.71,804493.76
KR,BLACKPINK,Gaming & Apps,People & Blogs,BLACKPINK,75100000,Music,"Entertainment,Music of Asia,Music,Pop music",617573972,69,0.547490564,0.065258318,24247825120,17409820,135847,UCOmHUn--16B90oW2L6FRR3A,,,2014,970496.61,748167.62,642212.00,720340.24
IN,Goldmines Telefilms,None,Film & Animation,Goldmines Telefilms,72000000,Movies,"Entertainment,Movies",63642295.56,69,0.022443868,0.006294404,17652030516,850610,495,UCyoXW-Dse7fURq30EWl_CUA,,,2018,978273.89,349403.78,653277.58,392883.42
CA,Justin Bieber,Gaming & Apps,Music,Justin Bieber,69400000,Music,"Music,Hip hop music,Pop music,Rhythm and blues",39350061.94,46,0.077374732,0.008874087,28347084231,6148177,7644,UCIwFjwMjI0y7PDBVEO9-bkQ,,,2016,708412.93,811929.92,55.81,663323.81
IN,SAB TV,Gaming & Apps,Entertainment,SAB TV,69300000,Entertainment,"Entertainment,TV shows,Movies",109283010.7,70,0.002536362,0.003490035,80431073293,160503,77,UC6-F5tO8uklgE9Zy8IvbdFw,,,2016,633759.15,875853.26,481120.91,32883.30
US,BANGTANTV,Music,Music,BANGTANTV,69100000,Pop music,"Entertainment,Music of Asia,Music,Pop music",1640737553,70,0.100502939,0.137005819,17072262758,6365307,36254,UCLkAepWjdylmXSltofFvsYQ,,,2013,687482.75,108798.11,580831.80,757940.04
KR,ibighit,Music,Music,ibighit,67300000,Music,"Entertainment,Music of Asia,Music,Pop music",636497162.1,72,0.146919052,0.098744402,23493409219,2975124,98952,UC3IZKseVpdzPSBaWxBxundA,,,2012,111701.68,609428.76,185883.58,839454.39
BR,Canal KondZilla,Music,Music,Canal KondZilla,65800000,Music,"Music,Hip hop music,Music of Latin America",116511691.1,81,0.04082935,0.006405934,36444038220,730263,1166,UCffDXn7ycAzwL2LDlbyWOTw,,,2007,474279.51,374346.25,449170.81,895559.09
IN,zeetv,Gaming & Apps,Entertainment,zeetv,62100000,TV shows,"TV shows,Movies,Entertainment",37475050.79,75,0.001587676,0.005464213,16034166113,24790,16,UCppHT7SZKKvar4Oc9J4oljQ,,,2012,575137.99,232457.54,470759.41,467519.92
IN,Shemaroo Filmi Gaane,Gaming & Apps,Music,Shemaroo Filmi Gaane,60700000,Entertainment,"Music,Movies,Music of Asia,Entertainment",12480195.26,71,0.005806078,0.001282439,28365791631,138099,61,UCP6uH_XlsxrXwZQ4DlqbqPg,,,2007,812311.77,474981.75,105346.04,120680.11
US,Pinkfong Baby Shark - Kids' Songs & Stories,Music,Education,Pinkfong Baby Shark - Kids' Songs & Stories,58700000,Music,"Entertainment,Music,Movies",17219955,67,0.034736166,0.016045796,31514954950,1353213,5,UCcdwLMPsaU2ezNSJU1nFoBQ,,,2008,947900.14,41737.27,65328.36,414006.63
US,Dude Perfect,Gaming & Apps,Sports,Dude Perfect,57800000,Lifestyle,Lifestyle,244293352.9,82,0.903419027,0.43851092,14560770809,62768767,36144,UCRijo3ddMTht_IHyNSNXpNQ,,,2012,677790.37,886287.93,282578.06,606808.32
US,Movieclips,Gaming & Apps,Film & Animation,Movieclips,57300000,Movies,"Entertainment,Movies",39953044.15,72,0.002600567,0.002025743,58434633172,81556,65,UC3gNmTGu-TTbFPpfSs5kNkg,,,2005,815387.47,496759.59,752858.30,310487.71
IN,ChuChu TV Nursery Rhymes & Kids Songs,Music,Education,ChuChu TV Nursery Rhymes & Kids Songs,57100000,Movies,"Music,Movies,Entertainment",31942735,78,0.282754007,0.027715732,38747673464,14184380,0,UCBnZ16ahKA2DZ_T5W0FPUXg,,,2010,352498.07,699742.52,80564.33,397078.69
US,Marshmello,Music,Music,Marshmello,55500000,Electronic music,"Music,Hip hop music,Pop music,Electronic music",51156331.51,73,0.111447301,0.005434907,13279526225,2716911,5497,UCEdvpU2pFRCVqU6yIPyTpMQ,,,2011,919615.55,976233.16,923254.79,61041.23
IN,Colors TV,Gaming & Apps,Entertainment,Colors TV,53400000,Movies,"TV shows,Movies,Entertainment",182929448,73,0.004375592,0.00151521,50613413464,298657,94,UC55IWqFLDH1Xp7iu1_xknRA,,,2009,791359.77,15805.36,901610.47,51380.35
IN,Wave Music,Music,Music,Wave Music,52800000,Music,"Entertainment,Music,Music of Asia,Movies",135816576.6,70,0.014120939,0.010160078,36796548363,381289,625,UC22nIfOTM7KLIQuFGMKzQbg,,,2013,440563.16,259804.65,331759.09,183653.25
US,EminemMusic,Gaming & Apps,Music,EminemMusic,52600000,Hip hop music,"Entertainment,Music,Hip hop music",45500762.85,27,0.37219525,0.062920545,23404734521,15251729,16781,UCfM3zsQsOnfWNUppiycmBuw,,,2006,372011.99,744956.34,225507.94,881252.68
IN,Aaj Tak,Gaming & Apps,News & Politics,Aaj Tak,52300000,Society,Society,204913414.4,67,0.002471868,0.001271688,19574295579,68320,159,UCt4t-jeY85JegMlZ-E5UWtA,,,2015,86163.27,637281.71,967377.04,119815.82
US,Ed Sheeran,Music,Music,Ed Sheeran,52100000,Hip hop music,"Music,Hip hop music,Pop music,Rock music",97976609.8,82,0.424189408,0.027331229,27642363836,17368941,9184,UC0C-w0YjGpqDXGB8IHb662A,,,2008,780782.45,897780.90,708182.95,724890.77
IN,Tips Official,Gaming & Apps,Music,Tips Official,52000000,Music,"Music,Music of Asia",35849829.85,67,0.051705903,0.014652634,27298793597,711603,655,UCJrDMFOdv1I2k8n9oK_V21w,,,2014,381236.21,693947.60,156307.32,819204.60
IN,Sony Music India,Music,Music,Sony Music India,51600000,Pop music,"Music,Music of Asia,Pop music",406235612.4,74,0.160503022,0.023334857,24301972405,3160971,7214,UC56gTxNs4f9xZ7Pa2i5xNzg,,,2007,531748.71,758831.35,667219.49,809198.78
US,Ariana Grande,Music,Pop music,Ariana Grande,51500000,Pop music,"Music,Pop music",44484407.8,33,0.24198291,0.006166562,21945548174,6972101,12890,UC9CoOnJkIBMdeijd9qYoT_g,,,2009,938148.68,412077.42,497732.90,192115.28
IN,T-Series Bhakti Sagar,Gaming & Apps,Music,T-Series Bhakti Sagar,51300000,Music,"Music,Music of Asia",27470145.64,68,0.0057136,0.000698178,23663272345,57639,109,UCaayLD9i5x4MmIoVZxXSv_g,,,2007,538104.46,825555.27,387007.65,178221.23
US,El Reino Infantil,Music,Music,El Reino Infantil,50900000,Entertainment,"Music,Movies,Entertainment",11453139.1,75,0.068281181,0.01237382,49013318189,2628394,8,UCK1i2UviaXLUNrZlAFpw_jA,,,2011,584161.00,707864.89,927272.74,990240.69
US,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,Music,LooLoo Kids - Nursery Rhymes and Children's Songs,49400000,Entertainment,"Music,Movies,Entertainment",25323367.15,66,0.232845666,0.019711646,28700714072,18526701,30,UC4NALVCmcmL5ntpV0thoH6w,,,2009,521808.45,528665.20,109671.19,584134.73
IN,YRF,Gaming & Apps,Music,YRF,46900000,Music of Asia,"Music,Movies,Music of Asia,Entertainment",230841570.4,72,0.11396691,0.079617761,28692968075,1160703,3819,UCbTLwN10NoCU4WDzLf1JMOA,,,2006,780383.08,44478.33,522135.00,432877.71
US,Taylor Swift,Gaming & Apps,Music,Taylor Swift,46800000,Music,"Music,Pop music",22039543.26,60,0.09257445,0.002608206,25296371488,3935723,5453,UCqECaJ8Gagnn7YCbPEzWH6g,,,2011,666963.35,867069.18,936039.83,54430.91
US,JuegaGerman,Gaming & Apps,Gaming,JuegaGerman,45900000,Gaming,"Gaming,Action game,Action-adventure game,Entertainment",641782272.8,82,0.095303022,0.065353353,13594315965,5479512,25812,UCYiGq8XF7YQD00x7wAd62Zg,,,2007,742947.57,450534.00,99532.62,386258.35
US,Billie Eilish,Gaming & Apps,Music,Billie Eilish,45900000,Music,"Independent music,Music,Pop music",37371320.82,16,0.563128466,0.018509838,11810491835,18540721,37182,UCiGm_E4ZwYSHV3bcW1pnSeQ,,,2014,938907.93,536859.08,500507.66,275606.69
MX,Badabun,Beauty & Fashion,Entertainment,Badabun,45600000,Entertainment,"Entertainment,Lifestyle,Society",288740569.4,68,0.015390894,0.000954648,18491954095,196297,1517,UCYWOjHweP2V-8kGKmmAmQJQ,,,2006,86549.83,85033.41,817412.88,184888.85
SV,Fernanfloo,Gaming & Apps,Gaming,Fernanfloo,45100000,Action game,"Entertainment,Action game,Gaming,Action-adventure game",937427149.9,82,0.579284858,0.041704189,9934602477,30384570,148092,UCV4xOVpbcV8SdueDCOxLXtQ,,,2006,231264.90,536141.84,489474.22,912484.74
IN,Infobells - Hindi,Gaming & Apps,Education,Infobells - Hindi,44700000,Music,"Music,Movies,Entertainment",24257065.2,62,0.30342129,0.040972656,25062652229,7839576,68,UC1ciY6kR3yj3kaKZ6R7ewAg,,,2013,721361.98,651803.75,939387.64,845516.14
BR,Felipe Neto,Gaming & Apps,Entertainment,Felipe Neto,44200000,Entertainment,"Entertainment,Gaming,Lifestyle,Movies",763318297,79,0.045004386,0.028200049,15287605140,2639780,10482,UCV306eHqgo0LvBf3Mh36AHg,,,2013,232347.97,897463.64,863324.40,146432.39
US,whinderssonnunes,Gaming & Apps,Comedy,whinderssonnunes,43800000,Technology,"Lifestyle,Technology",196137065.7,82,0.060472423,0.029082712,4101958915,2871915,8584,UC3KQ5GWANYF8lChqjZpXsQw,,,2013,423906.53,380278.01,545210.67,222238.24
US,BRIGHT SIDE,Science & Tech,Howto & Style,BRIGHT SIDE,43700000,Lifestyle,"Entertainment,Lifestyle,Movies",36932146.78,68,0.011437194,0.002251436,9969944772,395681,950,UC4rlAVgAK0SGk-yTfe48Qpw,,,2014,769358.16,602952.90,199444.91,286541.25
CL,HolaSoyGerman.,Music,Entertainment,HolaSoyGerman.,43300000,Entertainment,"Entertainment,Movies",222616795.2,59,1.018686754,0.040896609,4725838896,56337958,133935,UCZJ7m7EnCNodqnu5SAtg8eQ,,,2014,944308.41,819043.28,672376.60,576498.58
BR,Você Sabia?,Gaming & Apps,Entertainment,Você Sabia?,43100000,Entertainment,"Entertainment,Lifestyle",449621753.4,75,0.065984679,0.038639857,7206933910,3441983,13671,UCj0O6W8yDuLg3iraAXKgCrQ,,,2011,935899.26,570481.93,159268.06,902351.48
US,Katy Perry,Gaming & Apps,Music,Katy Perry,43000000,Music,"Music,Pop music",5322828.259,57,0.032802965,0.003661531,23815643998,1049132,2540,UCYvmuw-JtVrTZQ-7Y4kd63Q,,,2006,393907.96,293267.51,477534.84,754850.59
US,SonyMusicIndiaVEVO,Music,Music,SonyMusicIndiaVEVO,42300000,Music of Asia,"Music,Movies,Music of Asia,Pop music",117320899.9,70,0.098932922,0.003560179,23588674274,926225,613,UC3MLnJtqc_phABBriLRhtgQ,,,2017,126783.42,171059.72,59994.05,295403.11
NO,Alan Walker,Music,Music,Alan Walker,42000000,Music,"Music,Pop music,Electronic music",55641776.54,75,0.171522746,0.022760063,11617072443,4189689,8458,UCJrOtniJ0-NWz37R30urifQ,,,2013,517145.35,823319.92,812100.04,908027.23
PR,Bad Bunny,Music,Music,Bad Bunny,41600000,Music,"Music,Hip hop music,Music of Latin America",138038669.5,68,2.614865241,1.324981013,22382018623,127605799,29218,UCmBA_wu8xGg1OfOkfW13Q0Q,,,2013,167351.17,980148.96,725421.03,998722.02
US,Like Nastya Show,Entertainment,Entertainment,Like Nastya Show,41300000,Lifestyle,"Music,Lifestyle,Hobby",39269151.6,80,0.379553511,0.008066786,18673777146,15267911,0,UCS94J1s6-qc8v7btCdS2pNg,,,2011,430135.34,40613.96,452585.98,151334.50
BY,A4,Beauty & Fashion,Gaming,A4,40600000,Lifestyle,"Entertainment,Lifestyle,Technology,Movies",766852538,61,0.466893403,0.285831609,15999397373,22298425,97245,UC2tsySbe9TNrI-xh2lximHA,,,2008,836091.74,761502.66,757687.59,368452.35
RU,Get Movies,Gaming & Apps,Shows,Get Movies,40500000,Entertainment,"Entertainment,TV shows,Movies",16319224.4,78,0.022610046,0.008244797,28323109702,970253,6,UClZkHt2kNIgyrTTPnSQV3SA,,,2009,609800.20,280254.58,649681.63,273419.13
IN,Speed Records,Gaming & Apps,Music,Speed Records,40500000,Music of Asia,"Music of Asia,Music",155670991.2,70,0.027481222,0.005024387,24158005861,155543,1219,UCOsyDsO5tIt-VZ1iwjdQmew,,,2014,372342.26,900319.55,609859.03,567072.01
US,elrubiusOMG,Gaming & Apps,Comedy,elrubiusOMG,40400000,Action game,"Gaming,Action game,Action-adventure game,Role-playing video game",814895443,83,0.30742549,0.029883825,7469679920,16593905,51426,UCXazgXDIYyWH-yXLAkcrFxw,,,2012,2861.30,283387.36,778195.34,72835.15
PH,ABS-CBN Entertainment,None,Entertainment,ABS-CBN Entertainment,39800000,TV shows,"Entertainment,TV shows,Movies",240442177.4,73,0.003950891,0.001973241,46854726788,140690,104,UCstEtN0pgOmCf02EdXsGChw,,,2017,975013.45,534539.82,162835.06,744319.87
US,Rihanna,Fashion,Entertainment,Rihanna,39400000,Music,"Music,Pop music",1205009.12,42,0.028029583,0.000408233,19885240007,846463,831,UCcgqSM4YEo5vVQpqwN-MaNw,,,2006,910384.50,392452.52,602358.60,980557.86
US,Little Baby Bum - Nursery Rhymes & Kids Songs,Music,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,39200000,Entertainment,"Entertainment,Music,Movies",5749294.194,78,0.022178929,0.018421893,36748994170,792125,12,UCKAqou7V9FAWXpZd9xtOg3Q,,,2014,756690.81,706721.47,889279.43,789809.68
MX,Luisito Comunica,Beauty & Fashion,Comedy,Luisito Comunica,39000000,Lifestyle,Lifestyle,247337977.2,75,0.128590659,0.079792467,7572635123,6223747,17265,UCECJDeK0MNapZbpaOzxrUPA,,,2012,715479.34,683927.98,877919.29,477899.67
RU,Маша и Медведь,None,Film & Animation,Маша и Медведь,38300000,Movies,"Movies,Entertainment",23751378.74,77,0.144793117,0.054424461,32512871141,5530572,0,UCRv76wLBC73jiP7LX4C3l8Q,,,2008,214288.73,392062.34,445414.29,131486.78
US,TheEllenShow,None,Entertainment,TheEllenShow,38300000,Entertainment,"Entertainment,TV shows,Movies",167231088.8,81,0.014573094,0.012330093,22274035516,383303,333,UCp0hYYBW6IMayGgR-WeoCvQ,,,2011,737630.50,373003.20,896832.85,133586.22
IN,Shemaroo,Music,Entertainment,Shemaroo,38200000,Movies,"Entertainment,TV shows,Movies",19334895.6,69,0.011851203,0.009152598,20326343958,292700,52,UCF1JIbMUs6uqoZEY1Haw0GQ,,,2007,145318.76,860508.18,37576.71,980396.07
IN,Voot Kids,Entertainment,Entertainment,Voot Kids,38100000,Entertainment,"Movies,TV shows,Entertainment",46360335.99,51,0.098878382,0.120771069,17243982736,4136043,19,UCJg19noZp7-BYIGvypu_cow,,,2005,147072.16,391765.87,715642.81,292039.45
BR,Luccas Neto,Beauty & Fashion,People & Blogs,Luccas Neto,37500000,Lifestyle,"Entertainment,TV shows,Lifestyle,Movies",156622828.8,75,0.120270826,0.021377832,20208165033,6212180,365,UC_gV70G_Y51LTa3qhu8KiEA,,,2011,32978.87,949037.94,654201.21,620846.31
BR,GR6 EXPLODE,Music,Music,GR6 EXPLODE,37500000,Music of Latin America,"Music of Latin America,Hip hop music,Music",245579644.7,75,0.077993528,0.019407633,23660684066,1665857,1047,UCNUQK9mQoqi4yNXw2_Rj6SA,,,2012,76767.71,156661.71,619599.14,80400.00
US,xxxtentacion,Music,Music,xxxtentacion,37400000,Hip hop music,"Music,Hip hop music,Pop music,Electronic music",33550305.4,65,0.164899632,0.038311146,9632080442,6642088,18592,UCM9r1xn6s30OnlJWb-jc3Sw,,,2016,81029.91,726678.35,264361.25,717747.90
IN,Ishtar Music,Gaming & Apps,Music,Ishtar Music,37400000,Music of Asia,"Music,Music of Asia",18094604,62,0.018621281,0.00082464,14749662467,126009,235,UCWi_65E_L8tQZ34C6wVAlpQ,,,2011,382554.40,483609.67,915807.69,881988.35
US,One Direction,Gaming & Apps,Music,One Direction,37200000,Music,"Music,Pop music",18852717,33,0.14882012,0.003348267,12577465005,1374397,4475,UCb2HGwORFBo94DmRx4oLzow,,,2006,198111.50,629053.32,892678.81,128125.96
US,Kimberly Loaiza,Gaming & Apps,People & Blogs,Kimberly Loaiza,36900000,Lifestyle,"Lifestyle,Technology",240742149.4,69,0.543247869,0.282676026,4188413314,25171683,96581,UCQZfFRohQ7UX-0CdXl-6pwQ,,,2014,173941.85,429953.91,588959.38,484892.61
TH,WorkpointOfficial,None,Entertainment,WorkpointOfficial,36800000,Entertainment,"Entertainment,TV shows,Movies",80346776.67,76,0.003825047,0.002535184,33437272309,91303,80,UC3ZkCd7XtUREnjjt3cyY_gg,,,2005,634958.71,933909.66,881547.45,178154.51
US,Shakira,People & Blogs,People & Blogs,Shakira,36700000,Pop music,"Music,Pop music,Music of Latin America",16923109.41,82,0.120258364,0.04663995,23356797129,894884,2526,UCYLNGLIzMhRTi6ZOLjAPSmw,,,2014,339726.45,118034.46,74969.31,419613.60
US,Daddy Yankee,Music,Music,Daddy Yankee,36600000,Pop music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",188506752.5,72,1.733848591,0.015699777,20194962867,34904111,17002,UC9TO_oo4c_LrOiKNaY6aysA,,,2015,31523.90,703760.78,238882.02,851285.40
US,Toys and Colors,People & Blogs,People & Blogs,Toys and Colors,36300000,Lifestyle,"Hobby,Lifestyle,Entertainment",50988592.12,79,0.651806885,0.094288556,40261342099,27828993,0,UCgFXm4TI8htWmCyJ6cVPG_A,,,2010,255264.00,887171.92,347865.15,758049.83
US,WWE,Sports,Sports,WWE,89400000,Lifestyle,"Entertainment,Lifestyle,Professional wrestling,Sports,Performing arts",543800874.3,80,0.004329158,0.003562268,69794363750,392018,590,UCJ5v_MCY6GNUBTO8-D3XoAg,,,2005,751202.31,86970.25,414595.88,49048.64
IN,Zee Music Company,Music,Music,Zee Music Company,85500000,Pop music,"Music of Asia,Music,Pop music",210395355.3,76,0.029939415,0.021687586,48162039794,1106509,1771,UCFFbwnve3yF62-tVXkTyHqg,,,2016,126765.80,382451.39,452998.92,498996.08
US,Vlad and Niki,Entertainment,Entertainment,Vlad and Niki,83500000,Hobby,"Lifestyle,Hobby",146245435.4,82,0.976381214,0.121066269,65143080313,108949717,0,UCvlE5gTbOvjiolFlEm-c_Ow,,,2012,35976.61,449803.36,958122.71,520179.57
US,5-Minute Crafts,Gaming & Apps,Howto & Style,5-Minute Crafts,77000000,Lifestyle,"Lifestyle,Hobby",158230212.5,73,0.030060771,0.005156171,22655274758,2045771,726,UC295-Dw_tDNtZXFeAPAW6Aw,,,2011,380579.69,58344.99,446170.25,991724.56
KR,BLACKPINK,Gaming & Apps,People & Blogs,BLACKPINK,75100000,Music,"Entertainment,Music of Asia,Music,Pop music",617573972,69,0.547490564,0.065258318,24247825120,17409820,135847,UCOmHUn--16B90oW2L6FRR3A,,,2016,295406.33,195687.66,12965.24,365633.58
IN,Goldmines Telefilms,None,Film & Animation,Goldmines Telefilms,72000000,Movies,"Entertainment,Movies",63642295.56,69,0.022443868,0.006294404,17652030516,850610,495,UCyoXW-Dse7fURq30EWl_CUA,,,2014,487015.82,307433.23,87799.54,109732.45
CA,Justin Bieber,Gaming & Apps,Music,Justin Bieber,69400000,Music,"Music,Hip hop music,Pop music,Rhythm and blues",39350061.94,46,0.077374732,0.008874087,28347084231,6148177,7644,UCIwFjwMjI0y7PDBVEO9-bkQ,,,2013,327126.71,334350.36,439161.16,661005.16
IN,SAB TV,Gaming & Apps,Entertainment,SAB TV,69300000,Entertainment,"Entertainment,TV shows,Movies",109283010.7,70,0.002536362,0.003490035,80431073293,160503,77,UC6-F5tO8uklgE9Zy8IvbdFw,,,2006,826187.14,898992.59,408322.59,440424.94
US,BANGTANTV,Music,Music,BANGTANTV,69100000,Pop music,"Entertainment,Music of Asia,Music,Pop music",1640737553,70,0.100502939,0.137005819,17072262758,6365307,36254,UCLkAepWjdylmXSltofFvsYQ,,,2015,162290.17,990489.45,702912.50,234122.76
KR,ibighit,Music,Music,ibighit,67300000,Music,"Entertainment,Music of Asia,Music,Pop music",636497162.1,72,0.146919052,0.098744402,23493409219,2975124,98952,UC3IZKseVpdzPSBaWxBxundA,,,2009,856949.79,55326.77,382726.21,931215.44
